model_name,domain,ndcg@5,ndcg@10,recall@1,recall@5,recall@10,num_eval_queries,num_queries,num_corpus_scored,path
d_1k_best,finance_en,0.12137680846776971,0.13601605799305067,0.05721309129987883,0.12484828504515241,0.1664765906402264,1854,1854,2942,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/d_1k_best/finance_en.json
d_1k_best,finance_fr,0.06865901131534001,0.08414128444647798,0.027390411458006598,0.07420909727891925,0.11569523643429586,1920,1920,2384,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/d_1k_best/finance_fr.json
d_1k_best,hr,0.0892838136494528,0.09842023761205813,0.035807759422176656,0.08814111264782125,0.11926439389989774,1908,1908,1110,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/d_1k_best/hr.json
d_1k_best,industrial,0.06437987571326588,0.06955009247360536,0.02991075800263081,0.06390738040789326,0.08333739929183567,1698,1698,5244,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/d_1k_best/industrial.json
d_1k_best,pharmaceuticals,0.1351744991624192,0.14756146677929718,0.06510345591552905,0.13591385092344405,0.17854232765246106,2184,2184,2313,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/d_1k_best/pharmaceuticals.json
d_1k_best,physics,0.12329889764194059,0.13510880132650108,0.03678047588954122,0.11072293808302469,0.15376660841791684,1812,1812,1674,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/d_1k_best/physics.json
d_1k_final,computer_science,0.17211925384107762,0.19447311388047858,0.06270514584468084,0.16270793375444537,0.23513654304351966,1290,1290,1360,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/d_1k_final/computer_science.json
d_1k_final,energy,0.1399170044387729,0.15891543270069178,0.06419468206559853,0.15238032501304757,0.2111696118994637,1848,1848,2225,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/d_1k_final/energy.json
d_1k_final,finance_en,0.1203918225349341,0.13490635103973536,0.055932077276146366,0.12376696794441783,0.16552082034217547,1854,1854,2942,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/d_1k_final/finance_en.json
d_1k_final,finance_fr,0.06819750282694245,0.08300832937700706,0.027135278607765052,0.07306710465484943,0.11365372091973171,1920,1920,2384,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/d_1k_final/finance_fr.json
d_1k_final,hr,0.08919695187686245,0.09831650430979008,0.03577063503363718,0.08784026046017661,0.11852194003968486,1908,1908,1110,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/d_1k_final/hr.json
d_1k_final,industrial,0.06367319492238428,0.06822121075627732,0.028273104333175026,0.064350011327556,0.08194351768593994,1698,1698,5244,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/d_1k_final/industrial.json
d_1k_final,pharmaceuticals,0.13407177543701487,0.14678816412126003,0.06550100809879553,0.13495891135243304,0.17739177662008226,2184,2184,2313,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/d_1k_final/pharmaceuticals.json
d_1k_final,physics,0.12387497288346078,0.13643684299169007,0.039116472790281916,0.10906243377107905,0.15499298468825112,1812,1812,1674,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/d_1k_final/physics.json
f_1k_best,computer_science,0.17222789727874774,0.1905294388032137,0.06237008039333633,0.16667717940973742,0.22843470052772386,1290,1290,1360,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/f_1k_best/computer_science.json
f_1k_best,energy,0.12130582482328886,0.13753692621854946,0.0555480599678895,0.13528929900783582,0.18390019125201698,1848,1848,2225,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/f_1k_best/energy.json
f_1k_best,finance_en,0.1119882168572074,0.13022366454186504,0.046109510414744544,0.11511774455004896,0.16504307715971217,1854,1854,2942,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/f_1k_best/finance_en.json
f_1k_best,finance_fr,0.0630331691567793,0.0762554842627378,0.025319117072334012,0.06787727893514793,0.10402759972794806,1920,1920,2384,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/f_1k_best/finance_fr.json
f_1k_best,hr,0.09244422417457733,0.10272775866781764,0.03453616945399958,0.09092037515807168,0.12717250354601703,1908,1908,1110,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/f_1k_best/hr.json
f_1k_best,industrial,0.081780738510772,0.08864454066570902,0.037829164684288395,0.08223269275110387,0.10579873938786777,1698,1698,5244,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/f_1k_best/industrial.json
f_1k_best,pharmaceuticals,0.13953371839318215,0.1507114402527493,0.06631991008729997,0.13868348811757222,0.17828089208751266,2184,2184,2313,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/f_1k_best/pharmaceuticals.json
f_1k_best,physics,0.10755164499173354,0.12137501470771253,0.030007631505253856,0.09291924479774258,0.13783776263694997,1812,1812,1674,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/f_1k_best/physics.json
f_1k_final,computer_science,0.16854563229708525,0.18611771439229238,0.06107245897943584,0.16225083701827878,0.22066950706485602,1290,1290,1360,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/f_1k_final/computer_science.json
f_1k_final,energy,0.11292479587390601,0.13020683846356024,0.04988234671289055,0.12805912194291322,0.1781657191005832,1848,1848,2225,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/f_1k_final/energy.json
f_1k_final,finance_en,0.1098180329556541,0.12699640961198205,0.04327779520438855,0.11289781641992663,0.16153828931407144,1854,1854,2942,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/f_1k_final/finance_en.json
f_1k_final,finance_fr,0.05891916539997696,0.07149761877449327,0.02380952712524406,0.06343599012262272,0.0978261372348755,1920,1920,2384,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/f_1k_final/finance_fr.json
f_1k_final,hr,0.09117621443990827,0.10108637918473881,0.03525322796649007,0.0897917266680447,0.12551356675310812,1908,1908,1110,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/f_1k_final/hr.json
f_1k_final,industrial,0.07676991605891127,0.08483218644726453,0.035367351533429306,0.07623455395414808,0.1030646788023511,1698,1698,5244,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/f_1k_final/industrial.json
f_1k_final,pharmaceuticals,0.1375259964979857,0.14726719502513194,0.06284984027107629,0.1372387778968035,0.17375615752963183,2184,2184,2313,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/f_1k_final/pharmaceuticals.json
f_1k_final,physics,0.10331651565399215,0.11663479857528669,0.029002839836506193,0.08698601130713875,0.13400107970855188,1812,1812,1674,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/f_1k_final/physics.json
vdr_random_hn_1k_best,computer_science,0.1834370681930038,0.20136565306835003,0.06934081852686515,0.1767594657710937,0.23699992513946,1290,1290,1360,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/vdr_random_hn_1k_best/computer_science.json
vdr_random_hn_1k_best,energy,0.13533973657201578,0.1532280030465809,0.05735412727720356,0.14877841716264678,0.20510267400743348,1848,1848,2225,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/vdr_random_hn_1k_best/energy.json
vdr_random_hn_1k_best,finance_en,0.12105418529550796,0.13538197639767252,0.05314721680520175,0.12416913648503108,0.1660092915246986,1854,1854,2942,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/vdr_random_hn_1k_best/finance_en.json
vdr_random_hn_1k_best,finance_fr,0.07409516395181052,0.08912708685654985,0.026394301802160285,0.0807145121749946,0.12345366088501297,1920,1920,2384,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/vdr_random_hn_1k_best/finance_fr.json
vdr_random_hn_1k_best,hr,0.08721025886605345,0.09815328988129374,0.03343441720999798,0.0849919023398984,0.12153791776352064,1908,1908,1110,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/vdr_random_hn_1k_best/hr.json
vdr_random_hn_1k_best,industrial,0.06963170788716583,0.0740335155982471,0.032517331346836674,0.07026741792959158,0.08726143268513632,1698,1698,5244,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/vdr_random_hn_1k_best/industrial.json
vdr_random_hn_1k_best,pharmaceuticals,0.14185050960023016,0.15566091679360877,0.07110859349892296,0.14205172274867123,0.1879377875185437,2184,2184,2313,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/vdr_random_hn_1k_best/pharmaceuticals.json
vdr_random_hn_1k_best,physics,0.11951420976738503,0.13377097546063751,0.03489270981269188,0.10814854158826431,0.1567579851536217,1812,1812,1674,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/vdr_random_hn_1k_best/physics.json
vdr_random_hn_1k_final,computer_science,0.18320594753954988,0.20083837835361412,0.06779689087828634,0.17730240904659508,0.23728239245681101,1290,1290,1360,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/vdr_random_hn_1k_final/computer_science.json
vdr_random_hn_1k_final,energy,0.13510992380407338,0.15331179446212662,0.05766334187213245,0.14868165198129515,0.205732946512706,1848,1848,2225,/data/home/jeffrey/Projects-dev/AutoRAG-Research/experiments/vidorev3_colflor/results/vdr_random_hn_1k_final/energy.json
